health_area,district_name,data_element_name,year_month,monthly_value,previous_month_value,mom_percent_change
,,,202406,,,
,,,202407,,,
,,,202408,,,
,,,202409,,,
,,,202410,,,
,,,202411,,,
,,,202412,,,
,,,202501,,,
,,,202502,,,
,,,202503,,,
,,,202504,,,
,,,202505,,,
,Anthonymouth District,,202406,,,
,Anthonymouth District,,202407,,,
,Anthonymouth District,,202408,,,
,Anthonymouth District,,202409,,,
,Anthonymouth District,,202410,,,
,Anthonymouth District,,202411,,,
,Anthonymouth District,,202412,,,
,Anthonymouth District,,202501,,,
,Anthonymouth District,,202502,,,
,Anthonymouth District,,202503,,,
,Anthonymouth District,,202504,,,
,Anthonymouth District,,202505,,,
,Arroyoburgh District,,202406,,,
,Arroyoburgh District,,202407,,,
,Arroyoburgh District,,202408,,,
,Arroyoburgh District,,202409,,,
,Arroyoburgh District,,202410,,,
,Arroyoburgh District,,202411,,,
,Arroyoburgh District,,202412,,,
,Arroyoburgh District,,202501,,,
,Arroyoburgh District,,202502,,,
,Arroyoburgh District,,202503,,,
,Arroyoburgh District,,202504,,,
,Arroyoburgh District,,202505,,,
,Bensonborough District,,202406,,,
,Bensonborough District,,202407,,,
,Bensonborough District,,202408,,,
,Bensonborough District,,202409,,,
,Bensonborough District,,202410,,,
,Bensonborough District,,202411,,,
,Bensonborough District,,202412,,,
,Bensonborough District,,202501,,,
,Bensonborough District,,202502,,,
,Bensonborough District,,202503,,,
,Bensonborough District,,202504,,,
,Bensonborough District,,202505,,,
,Brianshire District,,202406,,,
,Brianshire District,,202407,,,
,Brianshire District,,202408,,,
,Brianshire District,,202409,,,
,Brianshire District,,202410,,,
,Brianshire District,,202411,,,
,Brianshire District,,202412,,,
,Brianshire District,,202501,,,
,Brianshire District,,202502,,,
,Brianshire District,,202503,,,
,Brianshire District,,202504,,,
,Brianshire District,,202505,,,
,Christinaside District,,202406,,,
,Christinaside District,,202407,,,
,Christinaside District,,202408,,,
,Christinaside District,,202409,,,
,Christinaside District,,202410,,,
,Christinaside District,,202411,,,
,Christinaside District,,202412,,,
,Christinaside District,,202501,,,
,Christinaside District,,202502,,,
,Christinaside District,,202503,,,
,Christinaside District,,202504,,,
,Christinaside District,,202505,,,
,Christopherbury District,,202406,,,
,Christopherbury District,,202407,,,
,Christopherbury District,,202408,,,
,Christopherbury District,,202409,,,
,Christopherbury District,,202410,,,
,Christopherbury District,,202411,,,
,Christopherbury District,,202412,,,
,Christopherbury District,,202501,,,
,Christopherbury District,,202502,,,
,Christopherbury District,,202503,,,
,Christopherbury District,,202504,,,
,Christopherbury District,,202505,,,
,East Jill District,,202406,,,
,East Jill District,,202407,,,
,East Jill District,,202408,,,
,East Jill District,,202409,,,
,East Jill District,,202410,,,
,East Jill District,,202411,,,
,East Jill District,,202412,,,
,East Jill District,,202501,,,
,East Jill District,,202502,,,
,East Jill District,,202503,,,
,East Jill District,,202504,,,
,East Jill District,,202505,,,
,East Linda District,,202406,,,
,East Linda District,,202407,,,
,East Linda District,,202408,,,
,East Linda District,,202409,,,
,East Linda District,,202410,,,
,East Linda District,,202411,,,
,East Linda District,,202412,,,
,East Linda District,,202501,,,
,East Linda District,,202502,,,
,East Linda District,,202503,,,
,East Linda District,,202504,,,
,East Linda District,,202505,,,
,East Lydiamouth District,,202406,,,
,East Lydiamouth District,,202407,,,
,East Lydiamouth District,,202408,,,
,East Lydiamouth District,,202409,,,
,East Lydiamouth District,,202410,,,
,East Lydiamouth District,,202411,,,
,East Lydiamouth District,,202412,,,
,East Lydiamouth District,,202501,,,
,East Lydiamouth District,,202502,,,
,East Lydiamouth District,,202503,,,
,East Lydiamouth District,,202504,,,
,East Lydiamouth District,,202505,,,
,East Suzanneshire District,,202406,,,
,East Suzanneshire District,,202407,,,
,East Suzanneshire District,,202408,,,
,East Suzanneshire District,,202409,,,
,East Suzanneshire District,,202410,,,
,East Suzanneshire District,,202411,,,
,East Suzanneshire District,,202412,,,
,East Suzanneshire District,,202501,,,
,East Suzanneshire District,,202502,,,
,East Suzanneshire District,,202503,,,
,East Suzanneshire District,,202504,,,
,East Suzanneshire District,,202505,,,
,East Traceyland District,,202406,,,
,East Traceyland District,,202407,,,
,East Traceyland District,,202408,,,
,East Traceyland District,,202409,,,
,East Traceyland District,,202410,,,
,East Traceyland District,,202411,,,
,East Traceyland District,,202412,,,
,East Traceyland District,,202501,,,
,East Traceyland District,,202502,,,
,East Traceyland District,,202503,,,
,East Traceyland District,,202504,,,
,East Traceyland District,,202505,,,
,Franciscostad District,,202406,,,
,Franciscostad District,,202407,,,
,Franciscostad District,,202408,,,
,Franciscostad District,,202409,,,
,Franciscostad District,,202410,,,
,Franciscostad District,,202411,,,
,Franciscostad District,,202412,,,
,Franciscostad District,,202501,,,
,Franciscostad District,,202502,,,
,Franciscostad District,,202503,,,
,Franciscostad District,,202504,,,
,Franciscostad District,,202505,,,
,Hoffmanville District,,202406,,,
,Hoffmanville District,,202407,,,
,Hoffmanville District,,202408,,,
,Hoffmanville District,,202409,,,
,Hoffmanville District,,202410,,,
,Hoffmanville District,,202411,,,
,Hoffmanville District,,202412,,,
,Hoffmanville District,,202501,,,
,Hoffmanville District,,202502,,,
,Hoffmanville District,,202503,,,
,Hoffmanville District,,202504,,,
,Hoffmanville District,,202505,,,
,Jasonmouth District,,202406,,,
,Jasonmouth District,,202407,,,
,Jasonmouth District,,202408,,,
,Jasonmouth District,,202409,,,
,Jasonmouth District,,202410,,,
,Jasonmouth District,,202411,,,
,Jasonmouth District,,202412,,,
,Jasonmouth District,,202501,,,
,Jasonmouth District,,202502,,,
,Jasonmouth District,,202503,,,
,Jasonmouth District,,202504,,,
,Jasonmouth District,,202505,,,
,Johnsonmouth District,,202406,,,
,Johnsonmouth District,,202407,,,
,Johnsonmouth District,,202408,,,
,Johnsonmouth District,,202410,,,
,Johnsonmouth District,,202411,,,
,Johnsonmouth District,,202412,,,
,Johnsonmouth District,,202501,,,
,Johnsonmouth District,,202502,,,
,Johnsonmouth District,,202503,,,
,Johnsonmouth District,,202504,,,
,Johnsonmouth District,,202505,,,
,Katieburgh District,,202406,,,
,Katieburgh District,,202407,,,
,Katieburgh District,,202408,,,
,Katieburgh District,,202409,,,
,Katieburgh District,,202410,,,
,Katieburgh District,,202411,,,
,Katieburgh District,,202412,,,
,Katieburgh District,,202501,,,
,Katieburgh District,,202502,,,
,Katieburgh District,,202503,,,
,Katieburgh District,,202504,,,
,Katieburgh District,,202505,,,
,Katiehaven District,,202406,,,
,Katiehaven District,,202407,,,
,Katiehaven District,,202408,,,
,Katiehaven District,,202409,,,
,Katiehaven District,,202410,,,
,Katiehaven District,,202411,,,
,Katiehaven District,,202412,,,
,Katiehaven District,,202501,,,
,Katiehaven District,,202502,,,
,Katiehaven District,,202503,,,
,Katiehaven District,,202504,,,
,Katiehaven District,,202505,,,
,Kaylamouth District,,202406,,,
,Kaylamouth District,,202407,,,
,Kaylamouth District,,202408,,,
,Kaylamouth District,,202409,,,
,Kaylamouth District,,202410,,,
,Kaylamouth District,,202411,,,
,Kaylamouth District,,202412,,,
,Kaylamouth District,,202501,,,
,Kaylamouth District,,202502,,,
,Kaylamouth District,,202503,,,
,Kaylamouth District,,202504,,,
,Kaylamouth District,,202505,,,
,Lake Casey District,,202406,,,
,Lake Casey District,,202407,,,
,Lake Casey District,,202408,,,
,Lake Casey District,,202409,,,
,Lake Casey District,,202410,,,
,Lake Casey District,,202411,,,
,Lake Casey District,,202412,,,
,Lake Casey District,,202501,,,
,Lake Casey District,,202502,,,
,Lake Casey District,,202503,,,
,Lake Casey District,,202504,,,
,Lake Casey District,,202505,,,
,Lake Lisaport District,,202406,,,
,Lake Lisaport District,,202407,,,
,Lake Lisaport District,,202408,,,
,Lake Lisaport District,,202409,,,
,Lake Lisaport District,,202410,,,
,Lake Lisaport District,,202411,,,
,Lake Lisaport District,,202412,,,
,Lake Lisaport District,,202501,,,
,Lake Lisaport District,,202502,,,
,Lake Lisaport District,,202503,,,
,Lake Lisaport District,,202504,,,
,Lake Lisaport District,,202505,,,
,Lake Marilynfort District,,202406,,,
,Lake Marilynfort District,,202407,,,
,Lake Marilynfort District,,202408,,,
,Lake Marilynfort District,,202409,,,
,Lake Marilynfort District,,202410,,,
,Lake Marilynfort District,,202411,,,
,Lake Marilynfort District,,202412,,,
,Lake Marilynfort District,,202501,,,
,Lake Marilynfort District,,202502,,,
,Lake Marilynfort District,,202503,,,
,Lake Marilynfort District,,202504,,,
,Lake Marilynfort District,,202505,,,
,Lake Todd District,,202406,,,
,Lake Todd District,,202407,,,
,Lake Todd District,,202408,,,
,Lake Todd District,,202409,,,
,Lake Todd District,,202410,,,
,Lake Todd District,,202411,,,
,Lake Todd District,,202412,,,
,Lake Todd District,,202501,,,
,Lake Todd District,,202502,,,
,Lake Todd District,,202503,,,
,Lake Todd District,,202504,,,
,Lake Todd District,,202505,,,
,Lake Yvettetown District,,202406,,,
,Lake Yvettetown District,,202407,,,
,Lake Yvettetown District,,202408,,,
,Lake Yvettetown District,,202409,,,
,Lake Yvettetown District,,202410,,,
,Lake Yvettetown District,,202411,,,
,Lake Yvettetown District,,202412,,,
,Lake Yvettetown District,,202501,,,
,Lake Yvettetown District,,202502,,,
,Lake Yvettetown District,,202503,,,
,Lake Yvettetown District,,202504,,,
,Lake Yvettetown District,,202505,,,
,Leeville District,,202406,,,
,Leeville District,,202407,,,
,Leeville District,,202408,,,
,Leeville District,,202409,,,
,Leeville District,,202410,,,
,Leeville District,,202411,,,
,Leeville District,,202412,,,
,Leeville District,,202501,,,
,Leeville District,,202502,,,
,Leeville District,,202503,,,
,Leeville District,,202504,,,
,Leeville District,,202505,,,
,Margaretland District,,202406,,,
,Margaretland District,,202407,,,
,Margaretland District,,202408,,,
,Margaretland District,,202409,,,
,Margaretland District,,202410,,,
,Margaretland District,,202411,,,
,Margaretland District,,202412,,,
,Margaretland District,,202501,,,
,Margaretland District,,202502,,,
,Margaretland District,,202503,,,
,Margaretland District,,202504,,,
,Margaretland District,,202505,,,
,Martinezbury District,,202406,,,
,Martinezbury District,,202407,,,
,Martinezbury District,,202408,,,
,Martinezbury District,,202409,,,
,Martinezbury District,,202410,,,
,Martinezbury District,,202411,,,
,Martinezbury District,,202412,,,
,Martinezbury District,,202501,,,
,Martinezbury District,,202502,,,
,Martinezbury District,,202503,,,
,Martinezbury District,,202504,,,
,Martinezbury District,,202505,,,
,Melissaville District,,202406,,,
,Melissaville District,,202407,,,
,Melissaville District,,202408,,,
,Melissaville District,,202409,,,
,Melissaville District,,202410,,,
,Melissaville District,,202411,,,
,Melissaville District,,202412,,,
,Melissaville District,,202501,,,
,Melissaville District,,202502,,,
,Melissaville District,,202503,,,
,Melissaville District,,202504,,,
,Melissaville District,,202505,,,
,Mendozamouth District,,202406,,,
,Mendozamouth District,,202407,,,
,Mendozamouth District,,202408,,,
,Mendozamouth District,,202409,,,
,Mendozamouth District,,202410,,,
,Mendozamouth District,,202411,,,
,Mendozamouth District,,202412,,,
,Mendozamouth District,,202501,,,
,Mendozamouth District,,202502,,,
,Mendozamouth District,,202503,,,
,Mendozamouth District,,202504,,,
,Mendozamouth District,,202505,,,
,New Ashley District,,202406,,,
,New Ashley District,,202407,,,
,New Ashley District,,202408,,,
,New Ashley District,,202409,,,
,New Ashley District,,202410,,,
,New Ashley District,,202411,,,
,New Ashley District,,202412,,,
,New Ashley District,,202501,,,
,New Ashley District,,202502,,,
,New Ashley District,,202503,,,
,New Ashley District,,202504,,,
,New Ashley District,,202505,,,
,New Christophershire District,,202406,,,
,New Christophershire District,,202407,,,
,New Christophershire District,,202408,,,
,New Christophershire District,,202409,,,
,New Christophershire District,,202410,,,
,New Christophershire District,,202411,,,
,New Christophershire District,,202412,,,
,New Christophershire District,,202501,,,
,New Christophershire District,,202502,,,
,New Christophershire District,,202503,,,
,New Christophershire District,,202504,,,
,New Christophershire District,,202505,,,
,New Deborahtown District,,202406,,,
,New Deborahtown District,,202407,,,
,New Deborahtown District,,202408,,,
,New Deborahtown District,,202409,,,
,New Deborahtown District,,202410,,,
,New Deborahtown District,,202411,,,
,New Deborahtown District,,202412,,,
,New Deborahtown District,,202501,,,
,New Deborahtown District,,202502,,,
,New Deborahtown District,,202503,,,
,New Deborahtown District,,202504,,,
,New Deborahtown District,,202505,,,
,New Mariotown District,,202406,,,
,New Mariotown District,,202407,,,
,New Mariotown District,,202408,,,
,New Mariotown District,,202409,,,
,New Mariotown District,,202410,,,
,New Mariotown District,,202411,,,
,New Mariotown District,,202412,,,
,New Mariotown District,,202501,,,
,New Mariotown District,,202502,,,
,New Mariotown District,,202503,,,
,New Mariotown District,,202504,,,
,New Mariotown District,,202505,,,
,New Ryanmouth District,,202406,,,
,New Ryanmouth District,,202407,,,
,New Ryanmouth District,,202408,,,
,New Ryanmouth District,,202409,,,
,New Ryanmouth District,,202410,,,
,New Ryanmouth District,,202411,,,
,New Ryanmouth District,,202412,,,
,New Ryanmouth District,,202501,,,
,New Ryanmouth District,,202502,,,
,New Ryanmouth District,,202503,,,
,New Ryanmouth District,,202504,,,
,New Ryanmouth District,,202505,,,
,New Stacey District,,202406,,,
,New Stacey District,,202407,,,
,New Stacey District,,202408,,,
,New Stacey District,,202409,,,
,New Stacey District,,202410,,,
,New Stacey District,,202411,,,
,New Stacey District,,202412,,,
,New Stacey District,,202501,,,
,New Stacey District,,202502,,,
,New Stacey District,,202503,,,
,New Stacey District,,202504,,,
,New Stacey District,,202505,,,
,New Susanville District,,202406,,,
,New Susanville District,,202407,,,
,New Susanville District,,202408,,,
,New Susanville District,,202409,,,
,New Susanville District,,202410,,,
,New Susanville District,,202411,,,
,New Susanville District,,202412,,,
,New Susanville District,,202501,,,
,New Susanville District,,202502,,,
,New Susanville District,,202503,,,
,New Susanville District,,202504,,,
,New Susanville District,,202505,,,
,Port Danielburgh District,,202406,,,
,Port Danielburgh District,,202407,,,
,Port Danielburgh District,,202408,,,
,Port Danielburgh District,,202409,,,
,Port Danielburgh District,,202410,,,
,Port Danielburgh District,,202411,,,
,Port Danielburgh District,,202412,,,
,Port Danielburgh District,,202501,,,
,Port Danielburgh District,,202502,,,
,Port Danielburgh District,,202503,,,
,Port Danielburgh District,,202504,,,
,Port Danielburgh District,,202505,,,
,Port Joshuahaven District,,202406,,,
,Port Joshuahaven District,,202407,,,
,Port Joshuahaven District,,202408,,,
,Port Joshuahaven District,,202409,,,
,Port Joshuahaven District,,202410,,,
,Port Joshuahaven District,,202411,,,
,Port Joshuahaven District,,202412,,,
,Port Joshuahaven District,,202501,,,
,Port Joshuahaven District,,202502,,,
,Port Joshuahaven District,,202503,,,
,Port Joshuahaven District,,202504,,,
,Port Joshuahaven District,,202505,,,
,Port Lindachester District,,202406,,,
,Port Lindachester District,,202407,,,
,Port Lindachester District,,202408,,,
,Port Lindachester District,,202409,,,
,Port Lindachester District,,202410,,,
,Port Lindachester District,,202411,,,
,Port Lindachester District,,202412,,,
,Port Lindachester District,,202501,,,
,Port Lindachester District,,202502,,,
,Port Lindachester District,,202503,,,
,Port Lindachester District,,202504,,,
,Port Lindachester District,,202505,,,
,Port Nicoleshire District,,202406,,,
,Port Nicoleshire District,,202407,,,
,Port Nicoleshire District,,202408,,,
,Port Nicoleshire District,,202409,,,
,Port Nicoleshire District,,202410,,,
,Port Nicoleshire District,,202411,,,
,Port Nicoleshire District,,202412,,,
,Port Nicoleshire District,,202501,,,
,Port Nicoleshire District,,202502,,,
,Port Nicoleshire District,,202503,,,
,Port Nicoleshire District,,202504,,,
,Port Nicoleshire District,,202505,,,
,Port Richardhaven District,,202406,,,
,Port Richardhaven District,,202407,,,
,Port Richardhaven District,,202408,,,
,Port Richardhaven District,,202409,,,
,Port Richardhaven District,,202410,,,
,Port Richardhaven District,,202411,,,
,Port Richardhaven District,,202412,,,
,Port Richardhaven District,,202501,,,
,Port Richardhaven District,,202502,,,
,Port Richardhaven District,,202503,,,
