health_area,country_name,facility_name,org_unit_uid,zero_data_periods,rank
,Ethiopia,Molina Clinic,Z3YaLoqnChG,12,1
,Tanzania,Olsen Health Post,YVKmYml2hiF,12,1
,Tanzania,Pennington Dispensary,xG4Jeu2qvjS,12,1
,Tanzania,Perez Clinic,PsZSlj239g3,12,1
,,,fyGeVeFUTHG,11,5
,,,gEW59tkMdjH,11,5
,Ethiopia,Baker Health Post,qsobIp0kNFL,11,5
,Ethiopia,Clark Health Post,CfeAPtt1aej,11,5
,Ethiopia,Clark Health Post,U5vcOfrRKLU,11,5
,Ethiopia,Dalton Clinic,AETQ4VM4gVy,11,5
,Ethiopia,Daniels Health Post,HDyfXT6T72A,11,5
,Ethiopia,Gibson Health Centre,fzDWLj8C79d,11,5
,Ethiopia,Grant Health Post,lbjpQFDaQwV,11,5
,Ethiopia,Hanson Health Post,nHfgoHH1kUa,11,5
,Ethiopia,Hernandez Clinic,FTC8vaRP8yA,11,5
,Ethiopia,Hernandez Health Post,WNVrA7Ym6E0,11,5
,Ethiopia,Lawson Clinic,fDQQ7C48Jfx,11,5
,Ethiopia,Lowe Clinic,aUWY9WGCyZy,11,5
,Ethiopia,Ortega Dispensary,yLJbrORT9PJ,11,5
,Ethiopia,Robinson Health Post,dzvSOmEHCbl,11,5
,Ethiopia,Rush Dispensary,K4XXjiWUTzG,11,5
,Ethiopia,Torres Health Post,RoQMKXjxY3c,11,5
,Kenya,Chavez Dispensary,FlYaeFFsqeP,11,5
,Kenya,Porter Health Centre,BZTJfWcNz2t,11,5
,Kenya,Ray Dispensary,Cwt8vexGfsk,11,5
,Tanzania,Barton Clinic,pZ5jqeS2Lik,11,5
,Tanzania,Bates Clinic,tN65WKbFY0V,11,5
,Tanzania,Bradshaw Dispensary,BSQk6rYtd9K,11,5
,Tanzania,Branch Dispensary,qL4XdorpvLT,11,5
,Tanzania,Costa Clinic,KoTdt1MLMk7,11,5
,Tanzania,Davis Health Centre,mgFQOivjvoT,11,5
,Tanzania,Greene Health Post,rmWg2Z8CM2i,11,5
,Tanzania,Hayes Health Centre,KbH9WFtZ1wg,11,5
,Tanzania,Holland Clinic,Jw7c3axZQt2,11,5
,Tanzania,Kennedy Health Post,DBk2g5nivaa,11,5
,Tanzania,Lynch Dispensary,Crwndvu33Ar,11,5
,Tanzania,Morris Hospital,aULgEAPECZG,11,5
,Tanzania,Murray Hospital,YpneTQLbXY6,11,5
,Tanzania,Powell Hospital,F5Iw1BLiFAh,11,5
,Tanzania,Preston Health Post,FSi5lGQ15LJ,11,5
,Tanzania,Smith Health Post,CC3jNYFqM9o,11,5
,Tanzania,Torres Dispensary,ju3l3rEGhls,11,5
,Tanzania,Warner Clinic,PllH1SPf29K,11,5
,Tanzania,Wolfe Health Post,OPWrS8oJQG8,11,5
,Uganda,Knight Dispensary,tBX9fEUaXpG,11,5
Child Health,Ethiopia,Adkins Hospital,oueoWaZvYpZ,0,1
Child Health,Ethiopia,Allen Hospital,VosMD8dhvC3,0,1
Child Health,Ethiopia,Alvarado Clinic,wKnf2AwrOIy,0,1
Child Health,Ethiopia,Alvarado Health Post,x0WdMMHV3It,0,1
Child Health,Ethiopia,Anderson Health Centre,aOBpDlxoKP4,0,1
Child Health,Ethiopia,Ashley Dispensary,hdxxhY2SG6v,0,1
Child Health,Ethiopia,Baker Health Post,qsobIp0kNFL,0,1
Child Health,Ethiopia,Ball Health Centre,E2PohCDvghG,0,1
Child Health,Ethiopia,Barnes Health Post,NYp0yX2m6NT,0,1
Child Health,Ethiopia,Bass Health Centre,MYstIDkFYTY,0,1
Child Health,Ethiopia,Bell Health Post,EaySUpZ7FxG,0,1
Child Health,Ethiopia,Brown Health Centre,vKmy7v9ZwJR,0,1
Child Health,Ethiopia,Calhoun Health Centre,yR9i2am0W8L,0,1
Child Health,Ethiopia,Camacho Hospital,sMxN6mdGhoW,0,1
Child Health,Ethiopia,Castaneda Health Post,ixuuzFEs88u,0,1
Child Health,Ethiopia,Clark Health Post,CfeAPtt1aej,0,1
Child Health,Ethiopia,Clark Health Post,U5vcOfrRKLU,0,1
Child Health,Ethiopia,Collins Dispensary,LsqruZpq7Ol,0,1
Child Health,Ethiopia,Crane Health Centre,HxiHIUmH0qZ,0,1
Child Health,Ethiopia,Crosby Clinic,JuKlRTsDubh,0,1
Child Health,Ethiopia,Cruz Health Centre,xRSCwZlejXD,0,1
Child Health,Ethiopia,Dalton Clinic,AETQ4VM4gVy,0,1
Child Health,Ethiopia,Daniels Health Post,HDyfXT6T72A,0,1
Child Health,Ethiopia,Davis Health Centre,bhJOf6fQXGE,0,1
Child Health,Ethiopia,Dominguez Hospital,ayVGAE6GH5j,0,1
Child Health,Ethiopia,Drake Health Post,MVXrSmw5r0A,0,1
Child Health,Ethiopia,Estes Health Post,Nbfayv5wb2q,0,1
Child Health,Ethiopia,Estrada Dispensary,scQRPIwS2fx,0,1
Child Health,Ethiopia,Ferguson Hospital,FDTjSdfSjVi,0,1
Child Health,Ethiopia,Fisher Health Post,DqRQNcRb42I,0,1
Child Health,Ethiopia,Floyd Hospital,Zl8QnQUwvZj,0,1
Child Health,Ethiopia,Gibson Health Centre,fzDWLj8C79d,0,1
Child Health,Ethiopia,Gonzales Clinic,v0GMwB0ybxy,0,1
Child Health,Ethiopia,Graham Clinic,NfdNsoASl8A,0,1
Child Health,Ethiopia,Graham Health Post,V5simi72YTv,0,1
Child Health,Ethiopia,Graham Hospital,uQxwoecy9qN,0,1
Child Health,Ethiopia,Grant Health Post,lbjpQFDaQwV,0,1
Child Health,Ethiopia,Gray Clinic,wkbS8rmtnnE,0,1
Child Health,Ethiopia,Hanson Health Post,nHfgoHH1kUa,0,1
Child Health,Ethiopia,Hernandez Clinic,FTC8vaRP8yA,0,1
Child Health,Ethiopia,Hernandez Health Centre,b8wO86tECcV,0,1
Child Health,Ethiopia,Hernandez Health Post,WNVrA7Ym6E0,0,1
Child Health,Ethiopia,Herrera Hospital,GzttsuxQfcG,0,1
Child Health,Ethiopia,Higgins Health Centre,n6N7vMoxkZl,0,1
Child Health,Ethiopia,Hooper Hospital,Q5HmbUIjd8t,0,1
Child Health,Ethiopia,Hunter Hospital,wobdQep4vUv,0,1
Child Health,Ethiopia,James Health Centre,NWaRM8c7Jry,0,1
Child Health,Ethiopia,Johnston Hospital,yAC47E7YYnB,0,1
Child Health,Ethiopia,Joyce Health Centre,FALcIJrd8RM,0,1
Child Health,Ethiopia,Kelley Health Centre,paESzpAFkgl,0,1
Child Health,Ethiopia,Lam Health Centre,ZLPo0SUDRHx,0,1
Child Health,Ethiopia,Lawson Clinic,fDQQ7C48Jfx,0,1
Child Health,Ethiopia,Lee Dispensary,HJjCg3R62nR,0,1
Child Health,Ethiopia,Lee Hospital,a4JpNQ4czlJ,0,1
Child Health,Ethiopia,Lowe Clinic,aUWY9WGCyZy,0,1
Child Health,Ethiopia,Lowery Health Centre,MuSRqcIz1wp,0,1
Child Health,Ethiopia,Manning Dispensary,MvTMfgaesb6,0,1
Child Health,Ethiopia,Marshall Clinic,jmUmjaDNT4O,0,1
Child Health,Ethiopia,Marshall Dispensary,uiC5i5zKBtg,0,1
Child Health,Ethiopia,Martinez Health Post,ZXW2VO9tz4t,0,1
Child Health,Ethiopia,Martinez Hospital,mAvRUgC91XT,0,1
Child Health,Ethiopia,Mccall Dispensary,GIoFM4Jk9Jr,0,1
Child Health,Ethiopia,Mcclure Health Post,UwMAomxIhRC,0,1
Child Health,Ethiopia,Mccullough Clinic,bN1Wt3wQFea,0,1
Child Health,Ethiopia,Meadows Clinic,ZNQceM4yNnC,0,1
Child Health,Ethiopia,Mercado Clinic,rxNL3prjPHv,0,1
Child Health,Ethiopia,Merritt Health Post,ZNGKwmxRPPL,0,1
Child Health,Ethiopia,Miller Clinic,pE0xb2rVVGf,0,1
